"annotation_abrv","annotation_names","parcellation_group","graph_order","ControlVnoTrauma_z","ControlVnoTrauma_p","ControlVTrauma_z","ControlVTrauma_p","TraumaVnoTrauma_t","TraumaVnoTrauma_p","Model_p","Model_padj","Model_fdr","NTvsT_padj","NTvsT_fdr"
"III","Oculomotor nucleus","midbrain","847",-0.347292517253223,0.728371571738937,0.298532409221235,0.765296844171012,0.684079421676188,0.493925015479595,0.793149823632187,0.853580286385116,FALSE,NA,NA
"VTN","Ventral tegmental nucleus","midbrain","851",0.0634841860270575,0.949380951563463,0.184773036334855,0.85340705756151,0.128935470625762,0.897408709412716,0.98188284262649,0.988443307053839,FALSE,NA,NA
"PAS","Parasolitary nucleus","hindbrain","972",0.655323139214031,0.512259725882138,0.312276169560608,0.754830649075749,-0.366758306176754,0.713799310448191,0.806190222503574,0.86350232362942,FALSE,NA,NA
"ASO","Accessory supraoptic group","diencephalon","718",1.19399362052422,0.232480463531479,0.383118350310945,0.701632014201529,-0.881896565275386,0.377832744657685,0.453427849713193,0.585569680201038,FALSE,NA,NA
"SMT","Submedial nucleus of the thalamus","diencephalon","689",1.51565490054678,0.129606637078397,1.41517515296719,0.157017147729745,-0.11500240221606,0.908443217985845,0.267858424035466,0.402232583601431,FALSE,NA,NA
"PL6b","Prelimbic area, layer 6b","cortical_plate","244",-0.294606050974904,0.768294839221615,-0.464266681851554,0.642456691815551,-0.179699225128001,0.857388701799838,0.896373067568117,0.933549830739145,FALSE,NA,NA
"AId6b","Agranular insular area, dorsal part, layer 6b","cortical_plate","284",2.11960420356915,0.0340394376912984,1.80724204398023,0.0707245480927106,-0.364436198252327,0.71553230893674,0.0953741589238422,0.195467913262153,FALSE,NA,NA
"PCN","Paracentral nucleus","diencephalon","699",1.02076632094853,0.307365164419542,1.25751561003275,0.208566990139933,0.254035540541228,0.799468101125836,0.444376167006814,0.575524434060401,FALSE,NA,NA
"PD","Posterodorsal preoptic nucleus","diencephalon","746",0.672616153113484,0.501191522540174,1.2444703494686,0.213326505407029,0.62181383014245,0.534064291224982,0.467890949044035,0.597420081830237,FALSE,NA,NA
"SFO","Subfornical organ","diencephalon","753",2.42542525710589,0.0152904639398168,2.22943208879418,0.0257851691581962,-0.210573035639243,0.833220454961134,0.0889554816153032,0.188705881363009,FALSE,NA,NA
"VISal1","Anterolateral visual area, layer 1","cortical_plate","165",2.48517444789392,0.012948796316273,0.929465412699777,0.352647941798789,-1.66852519659349,0.0952115143670598,0.0501541106720573,0.131800337347499,FALSE,NA,NA
"IAD","Interanterodorsal nucleus of the thalamus","diencephalon","681",1.27242940545632,0.203220591737043,2.37308427836338,0.0176402383409356,1.17683472391307,0.239261480121788,0.0792105641465956,0.177243440565649,FALSE,NA,NA
"VI","Abducens nucleus","hindbrain","948",-0.195920823427393,0.84467213838036,1.22181695589347,0.221776855001946,1.504389850919,0.132481015955024,0.273410356217596,0.409210202021038,FALSE,NA,NA
"FRP1","Frontal pole, layer 1","cortical_plate","7",3.1127100564658,0.00185378040527532,1.2800490271284,0.20052789386082,-1.95148550660526,0.0509993186451758,0.0132448350247333,0.0623610982414525,FALSE,NA,NA
"SSs6b","Supplemental somatosensory area, layer 6b","cortical_plate","106",-0.790411840357496,0.429287289574639,0.26726635521104,0.789264089451654,1.12113445141181,0.262230635991897,0.525804815128635,0.6423345309139,FALSE,NA,NA
"CLI","Central linear nucleus raphe","midbrain","864",-0.500031415562093,0.617052956965442,0.41077994563069,0.681233899561549,0.965580966762923,0.33425390312234,0.632550963217815,0.742631260712863,FALSE,NA,NA
"y","Nucleus y","hindbrain","991",-2.57527604420449,0.0100160113812914,-0.93840174476749,0.348037989640183,1.73695570219376,0.0823949901913257,0.0485025266619026,0.128959659124588,FALSE,NA,NA
"IMD","Intermediodorsal nucleus of the thalamus","diencephalon","684",0.548487639363939,0.583357114290276,0.22399220509468,0.822763368581668,-0.344472761315314,0.730490777314571,0.856569938554277,0.903034801394381,FALSE,NA,NA
"SLC","Subceruleus nucleus","hindbrain","916",-0.57356633792838,0.566261296294443,-0.611265915416561,0.541023551945926,-0.0399228308400551,0.968154649232554,0.796124217027138,0.854746190252414,FALSE,NA,NA
"VPM","Ventral posteromedial nucleus of the thalamus","diencephalon","649",1.79386688049467,0.0728344188413643,-0.0661783105035731,0.94723586462388,-1.97598575133196,0.0481563910131835,0.088725845267408,0.188705881363009,FALSE,NA,NA
"VISpm6b","posteromedial visual area, layer 6b","cortical_plate","205",0.13148802329558,0.895389260343101,-0.689342284580244,0.490607894285261,-0.869782841888536,0.384419089906759,0.662759952304973,0.766189903983866,FALSE,NA,NA
"SSp-tr6b","Primary somatosensory area, trunk, layer 6b","cortical_plate","92",0.571344301340501,0.567766277063119,0.418884407974942,0.675300612732612,-0.162072127544147,0.871249054978697,0.845926291300728,0.897555595464623,FALSE,NA,NA
"VISl1","Lateral visual area, layer 1","cortical_plate","179",2.677967408879,0.00740704252087566,0.87410028146818,0.382063644235337,-1.92500549003637,0.0542286714172742,0.0290758174988964,0.0952338370253709,FALSE,NA,NA
"V","Motor nucleus of trigeminal","hindbrain","902",1.14837920756617,0.250812053396927,0.451017957523193,0.651976606525597,-0.740529554728091,0.458978734835437,0.510105367675612,0.631692126546237,FALSE,NA,NA
"SPVO","Spinal nucleus of the trigeminal, oral part","hindbrain","939",0.407539443451111,0.683611830525578,-0.146703714484878,0.883365886595367,-0.587940670104337,0.556572116731641,0.831005717817791,0.885883453900098,FALSE,NA,NA
"SPVC","Spinal nucleus of the trigeminal, caudal part","hindbrain","937",0.395490214577848,0.692481141902903,1.88026166798092,0.0600724247143614,1.57762809460198,0.114651074175698,0.130830768384071,0.240388241095935,FALSE,NA,NA
"VISal6b","Anterolateral visual area, layer 6b","cortical_plate","170",-1.02141419370689,0.307058243443381,-1.50134493611401,0.133266368040234,-0.509245093366205,0.610580438892812,0.322344473812916,0.458175164035969,FALSE,NA,NA
