Animal,Experiment,din,state,time,rewarded
08,25c5,3,1.0,1761068785.367771,0.0
08,25c5,3,0.0,1761068785.4303436,
08,25c5,3,1.0,1761068785.4623272,0.0
08,25c5,3,0.0,1761068785.5256982,
08,25c5,3,1.0,1761068785.5875676,0.0
08,25c5,3,0.0,1761068785.6347394,
08,25c5,3,1.0,1761068785.69826,0.0
08,25c5,3,0.0,1761068785.7455308,
08,25c5,3,1.0,1761068785.7934697,0.0
08,25c5,3,0.0,1761068785.8573203,
08,25c5,3,1.0,1761068785.919606,0.0
08,25c5,3,0.0,1761068785.966471,
08,25c5,4,1.0,1761068787.474794,1.0
08,25c5,4,0.0,1761068787.5063632,
08,25c5,4,1.0,1761068787.568811,0.0
08,25c5,4,0.0,1761068787.600532,
08,25c5,4,1.0,1761068787.6480818,0.0
08,25c5,4,0.0,1761068787.6954486,
08,25c5,4,1.0,1761068787.74235,0.0
08,25c5,4,0.0,1761068787.774064,
08,25c5,4,1.0,1761068787.8213308,0.0
08,25c5,4,0.0,1761068787.8689454,
08,25c5,4,1.0,1761068787.9157372,0.0
08,25c5,4,0.0,1761068787.9785242,
08,25c5,4,1.0,1761068788.042231,0.0
08,25c5,4,0.0,1761068788.089588,
08,25c5,4,1.0,1761068788.1065145,0.0
08,25c5,4,0.0,1761068788.1218998,
08,25c5,4,1.0,1761068788.1378555,0.0
08,25c5,4,0.0,1761068788.1836326,
08,25c5,4,1.0,1761068788.2629485,0.0
08,25c5,4,0.0,1761068788.3104062,
08,25c5,4,1.0,1761068788.357487,0.0
08,25c5,4,0.0,1761068788.4051352,
08,25c5,4,1.0,1761068788.4674542,0.0
08,25c5,4,0.0,1761068788.5151062,
08,25c5,4,1.0,1761068788.5792382,0.0
08,25c5,4,0.0,1761068788.626247,
08,25c5,4,1.0,1761068788.6721966,0.0
08,25c5,4,0.0,1761068788.7348936,
08,25c5,4,1.0,1761068788.780172,0.0
08,25c5,4,0.0,1761068788.8435192,
08,25c5,4,1.0,1761068788.8905003,0.0
08,25c5,4,0.0,1761068788.9529247,
08,25c5,4,1.0,1761068789.0008006,0.0
08,25c5,4,0.0,1761068789.0798843,
08,25c5,4,1.0,1761068789.1274896,0.0
08,25c5,4,0.0,1761068789.1746285,
08,25c5,4,1.0,1761068789.2373922,0.0
08,25c5,4,0.0,1761068789.285131,
08,25c5,4,1.0,1761068789.3321602,0.0
08,25c5,4,0.0,1761068789.3930447,
08,25c5,4,1.0,1761068789.4404638,0.0
08,25c5,4,0.0,1761068789.516677,
08,25c5,4,1.0,1761068789.562713,0.0
08,25c5,4,0.0,1761068789.625797,
08,25c5,4,1.0,1761068789.6723318,0.0
08,25c5,4,0.0,1761068789.7347813,
08,25c5,4,1.0,1761068789.782091,0.0
08,25c5,4,0.0,1761068789.8457136,
08,25c5,4,1.0,1761068789.8929513,0.0
08,25c5,4,0.0,1761068789.9391656,
08,25c5,4,1.0,1761068790.0010662,0.0
08,25c5,4,0.0,1761068790.0480063,
08,25c5,5,1.0,1761068791.7068236,1.0
08,25c5,5,0.0,1761068791.7384698,
08,25c5,5,1.0,1761068791.801547,0.0
08,25c5,5,0.0,1761068791.8333306,
08,25c5,5,1.0,1761068791.8807273,0.0
08,25c5,5,0.0,1761068791.928111,
08,25c5,5,1.0,1761068791.9760134,0.0
08,25c5,5,0.0,1761068792.021513,
08,25c5,5,1.0,1761068792.0838685,0.0
08,25c5,5,0.0,1761068792.1317413,
08,25c5,5,1.0,1761068792.1782866,0.0
